,Date received,Consumer complaint narrative
14,2022-03-07,"I have been disputing fraud accounts on my credit report since XX/XX/XXXX. I keep sending multiple sets of letters to the bureaus so the excuse of "" we didn't get it '' doesn't happen. Furthermore, each letter is signed and attached with an FTC and Identity Theft affidavit, yet the bureaus are still not taking any actions. The accounts are not showing in dispute nor are they removed from my report. The bureaus seem to ignore the trend and let these fraud accounts affect my credit score. I have requested the investigation to be initiated and also verifiable proof to be submitted should the accounts claim to be mine. Not only have I not received any mail showing the verifiable proof needed to justify the items to be on my report, I haven't even received any letters at all stating the investigations have begun. Per the FCRA and federal law, the process is supposed to be 30 days. 250 days later, I'm still here shelling out money with no end in sight and no results to show. I have had ENOUGH! HOW MUCH DOCUMENTATION does it take to get SOMEONE to REALLY DO SOMETHING?? LOOK at the attachments! THIS IS NOT ROCKET SCIENCE! You asked for Documentation and I have given it. AGAIN AND AGAIN AND AGAIN! THE DISCHARGE PAPER FROM THE COURT IS CLEAR! THEY CAN NOT COLLECT on a DISCHARGED DEBT!! This is my last option before I take this up with my lawyers and sue for full compensation and damages incurred. Please delete the accounts immediately! 

XXXX XXXX XXXX Date Opened : XX/XX/XXXX Balance : {$0.00} ; DEPTEDXXXX XXXX Date Opened : XX/XX/XXXX Balance : {$0.00} ; XXXX XXXX Date Opened : XX/XX/XXXX Balance : {$87.00} ; XXXX XXXX XXXX ( Original Creditor : XXXX XXXX XXXX XXXX ) XXXX XXXX XXXX : XX/XX/XXXX Balance : {$630.00}"
16,2022-03-21,"Beginning in XXXX of XXXX I reached out to Midland Credit to request information pertaining to a debt showing on my credit report that I did not recognize. I requested information and validation of the debt and did not receive any information or correspondents. I sent multiple letters and did not receive any of the requested information. 

In XXXX of XXXX I started receiving court paper and learned that i was being sued for an account I had no knowledge of. 

The Lawyer of XXXX XXXX provided me with a little information pertaining and advise me to speak with the lawyer that actually has my case as he was just feeling in. 

I attempted to reach out to the lawyer with no success. I received documents on XX/XX/XXXX and immediately called the number listed as there were multiple discrepancies with the information listed. The number listed was for Midland credit directly instead of the lawyer. The midland rep stated that she would have the lawyer contact me after we both found some discrepancies as well as Midland shows all my letters that were set to them. 

I have never applied for a credit card account with XXXX bank. The information they have including the credit cards and bill was sent to my old address on XXXX in XXXX in XXXX. I moved from that address in XXXX. 

This debt does not belong to me and was opened without my knowledge and authorization. 

Attached are additional documents for review"
20,2022-03-06,"On XX/XX/XXXX I was called by TD Bank ( XXXX ) XXXX which is an accurate phone number for the bank. I was told that there was suspected fraud on my account and they needed to confirm some of my transactions on my checking account. He asked for the last 4 of my SS # which I provided as this is commonly requested to verify my identity. He then proceeded to recite transactions in my account. Some were valid and some weren't. That is when he started what he referred to as initiating a fraud claim. He provided me with a fraud claim # as well. At this time he told me he needed to send me a account confirmation code to my cell phone as well. When I called TD bank the next day to check on the status of the fraud situation, since I received an email that I had insufficient funds in my account, I was told that they never called me and that someone must've spoofed their phone number to make it look like it was TD bank. At this point I realize that someone presenting themselves as a TD bank rep, fraudulently induced me into supplying the last 4 of my SS # and other information to obtain access to my account. This person obviously stoIe my identity by logging into my account and transferring my money around under the pretense that they were a TD bank representative. I learned from the branch that someone logged in, transferred money from my savings account to my checking account and then sent all of the checking account money by EFT to a XXXX payment. I have never heard of XXXX, never used or set up an account with XXXX and also never opted in with TD bank to be a part of XXXX at all. Both my saving and checking accounts were cleared out. I was instructed to obtain a police report which I did get. How was my user name and password obtained? This is actually the XXXX time with TD bank that I have had fraudulent activity. The first time was unauthorized charges. This time is obviously much worse since my account was cleared out of a total of {$2200.00}. Does TD bank not monitor the location of where someone is logging in from? if so, they would see it was not my usual location. Also, as for XXXX, if I never used their service before and then they suddenly see a payment being sent by someone not enrolled in their service, doesn't that flag something on their end? My last question is shouldn't TD bank and all banks ask you to opt in to XXXX? I find it quite dangerous that if someone gets access to my online information again that they can just sent my money anywhere they want. TD bank is in the process of their XXXX day investigation but I wanted to report this fraudulent inducing incident directly. TD bank is saying that I have a XX/XX/XXXX chance of getting my money back and from what I see, within the laws, they are liable to return my funds. XXXX XXXX of the XXXX XXXX Police Dept ( XXXX XXXX, NY ) provided a Central Complaint # XXXX and said my "" identity theft report '' will be ready in 3 to 5 days."
21,2022-03-07,"Equifax Information Services, LLC is in violation of the Fair Credit Reporting Act for refusing to have reasonable procedures in place to ensure maximum possible accuracy. I know my rights and I am being damaged by Equifax Information Services , LLC. 
1. Last week, I submitted CFPB Complaint # XXXX for the same reason I am submitting this one. 
2. Equifax Information Services, LLC chose to continue to harass me and refuse to delete inaccurate information from my consumer file and consumer reports, and refused to provide full 609 disclosures as I have requested more than once. 
3. Equifax Information Services, LLC has chosen to respond by requesting my ID and utility bill that I already sent them back on XX/XX/2021. 

These are just stall tactics. I am being continuously damaged by Equifax Information Services , LLC and their violations of the Fair Credit Reporting Act. 

They are reporting and including information in my consumer file of entities that do not exist. There is no way for them investigate any information with a company that does not exist and that they have not provided me with contact information to contact myself. They are required to immediately and permanently delete every account that I have disputed, and provide the full 609 disclosure in writing without further delay."
25,2022-05-29,"In accordance with the Fair Credit Reporting Act 15 U.S.C 1681 & Fair Debt Collection Practices Act 15 U.S.C XXXX  CKS PRIME INVESTMENTS, has violated my rights. 
( XXXX XXXX XXXX XXXX XXXX XXXX ) HAS VIOLATED MY RIGHTS. 

15 U.S.C XXXX  section 602 A. States I have the right to privacy.

15 U.S.C XXXX  section 604 A. Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions.

15 U.S.C XXXX  b ( 2 ) not state that such consumer owes any debt.

I HAVE NEVER DONE BUSINESS OR EVEN HEARD OF THIS COMPANY BEFORE. I RECENTLY CHECKED MY CREDIT REPORT AND THIS INACCURATE INFORMATION WAS LISTED WITHOUT AN ACCOUNT NUMBER. I WAS NEVER NOTIFIED ABOUT THIS INACCURATE INFORMATION UNTIL I CHECKED MY CREDIT REPORT."
30,2022-03-08,"In XXXX Barclays Jet Blue MasterCard  notified me that if i didn't use the card it would be cancelled. I charged a restaurant bill for {$71.00} in mid XXXX and paid the charge in full before it was due XX/XX/2022. I have a cancelled check showing that. Barclays deposited my check but did not credit it to my account, and has been charging me late fees and interest ever since. I've made at least 8 long calls to Barclays, and have sent them a copy of the deposited check. They keep telling me "" they will resolve it '' but they have knocked my credit rating XXXX points by reporting it as an uncollected debt. They have failed to give me appropriate credit for my payments and have not written the credit agencies to say this was their error not mine ... .and they haven't FIXED IT. No matter how many people I speak to, nothing gets done. I have copies of all docs for proof. Please help. XXXX XXXX XXXX"
32,2022-03-12,"Over the course of 30 days I have filed a dispute in regards to inaccurate and false information on my credit report. Ive attached a copy of my dispute mailed in certified to Equifax and they are still reporting these incorrect items. According to the fair credit ACT, section 609 ( a ) ( 1 ) ( A ) they are required by Federal Law to only report Accurate information and the have not done so. They have not provided me with any proof i.e. and original consumer contract with my signature on it proving that this is my account.

Further more, I would like to make a formal complaint that Ive tried calling Equifax Over 10 times this week and every single time Ive called Ive asked for a representative in the fraud dispute department wants transfer it over there when you speak to the representative and let them know that you are looking to dispute inquiries and accounts due to fraud they immediately transfer you to their survey line essentially ending the call. I believe Equifax is training their representatives to not help consumers over the phone and performing unethical practices. 

Once I finally got a hold of a representative she told me that she could not help because I did not send in my Social Security card which violates my consumer rights. So Im Making a formal CFPB complaint that you will correct Equifaxs actions. 

Below Ive written what is also included in the files uploaded, my disputes for inaccuracies on my credit report."
33,2022-02-17,"Please reopen case XXXX, Nothing has been resolved by the company 's response."
35,2022-02-03,I am writing to delete the following information in my file. The item I need deleted is in the report. I am a victim of identity theft and did not make this charge. I ask that the item be deleted to correct my credit report. I reported the theft of my identity to the Federal Trade Commission. And I also enclosed copies of the Federal Trade Commission Theft Affidavit. Please delete this item as soon as possible.
37,2022-03-22,"Ive contacted all 3 credit bureaus regarding a 30 day late payment posted on my credit report for my car loan with XXXX for the month of XX/XX/2021. This account was never 30 days late. XXXX investigated and couldnt verify that the info was correct. They removed it. Experian and XXXX both keep stating the info is accurate, but neither will provide the proof of this accuracy or the person they contacted or documents showing it is in fact accurate. I have requested this 3 times. They have not removed it."
